seq,t,dt,work,missed,,,
877,12618546,4999,8,0,,,
878,12623551,5005,9,0,,,
879,12628547,4996,9,0,,,
880,12633549,5002,9,0,,,
881,12638548,4999,8,0,,,
882,12643548,5000,9,0,,,
883,12648546,4998,8,0,,,
884,12653550,5004,9,0,,,
885,12658552,5002,9,0,,,
886,12663559,5007,9,0,,,
887,12668555,4996,9,0,,,
888,12673551,4996,8,0,,,
889,12678554,5003,9,0,,,
890,12683552,4998,9,0,,,
891,12688554,5002,9,0,,,
892,12693549,4995,9,0,,,
893,12698554,5005,9,0,,,
894,12703549,4995,9,0,,,
895,12708555,5006,8,0,,,
896,12713554,4999,8,0,,,
897,12718550,4996,8,0,,,
898,12723546,4996,9,0,,,
899,12728548,5002,8,0,,,
900,12733549,5001,9,0,,,
901,12738548,4999,9,0,,,
902,12743554,5006,9,0,,,
903,12748554,5000,9,0,,,
904,12753554,5000,9,0,,,
905,12758548,4994,9,0,,,
906,12763551,5003,9,0,,,
907,12768548,4997,35,0,,,
908,12773551,5003,8,0,,,
909,12778551,5000,9,0,,,
910,12783549,4998,9,0,,,
911,12788550,5001,9,0,,,
912,12793552,5002,8,0,,,
913,12798554,5002,9,0,,,
914,12803546,4992,9,0,,,
915,12808546,5000,9,0,,,
916,12813551,5005,9,0,,,
917,12818552,5001,9,0,,,
918,12823548,4996,9,0,,,
919,12828553,5005,8,0,,,
920,12833546,4993,8,0,,,
921,12838553,5007,9,0,,,
922,12843551,4998,9,0,,,
923,12848546,4995,8,0,,,
924,12853553,5007,9,0,,,
925,12858550,4997,9,0,,,
926,12863546,4996,9,0,,,
927,12868580,5034,9,0,,,
928,12873551,4971,8,0,,,
929,12878547,4996,9,0,,,
930,12883551,5004,9,0,,,
931,12888551,5000,9,0,,,
932,12893546,4995,9,0,,,
933,12898546,5000,9,0,,,
934,12903547,5001,9,0,,,
935,12908547,5000,26,0,,,
936,12913547,5000,8,0,,,
937,12918548,5001,8,0,,,
938,12923550,5002,9,0,,,
939,12928553,5003,8,0,,,
940,12933552,4999,9,0,,,
941,12938550,4998,9,0,,,
942,12943549,4999,9,0,,,
943,12948546,4997,9,0,,,
944,12953550,5004,8,0,,,
945,12958553,5003,9,0,,,
946,12963554,5001,9,0,,,
947,12968580,5026,9,0,,,
948,12973550,4970,8,0,,,
949,12978551,5001,9,0,,,
950,12983552,5001,9,0,,,
951,12988550,4998,9,0,,,
952,12993547,4997,9,0,,,
953,12998546,4999,8,0,,,
954,13003547,5001,9,0,,,
955,13008554,5007,9,0,,,
956,13013550,4996,9,0,,,
957,13018548,4998,8,0,,,
958,13023554,5006,9,0,,,
959,13028553,4999,9,0,,,
960,13033554,5001,9,0,,,
961,13038547,4993,9,0,,,
962,13043546,4999,9,0,,,
963,13048548,5002,9,0,,,
964,13053551,5003,9,0,,,
965,13058550,4999,8,0,,,
966,13063550,5000,9,0,,,
967,13068579,5029,9,0,,,
968,13073553,4974,9,0,,,
969,13078550,4997,9,0,,,
970,13083553,5003,9,0,,,
971,13088553,5000,9,0,,,
