t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
29471250,156,-0.0444,0.0044,1.0215,-0.0610,0.3662,-0.3052,5.0000,40.0000,62.0000,0,1,463,1107,413,0
29476248,157,-0.0439,0.0049,1.0225,0.0000,0.2441,-0.3052,5.0000,40.0000,62.0000,0,1,463,1149,422,0
29481255,158,-0.0430,0.0054,1.0215,-0.0610,0.1831,-0.2441,5.0000,40.0000,62.0000,0,1,463,1076,439,0
29486253,159,-0.0435,0.0044,1.0205,-0.0610,0.2441,-0.1831,5.0000,40.0000,62.0000,0,1,463,1124,429,0
29491252,160,-0.0439,0.0039,1.0195,0.0000,0.3052,-0.1831,5.0000,40.0000,62.0000,0,1,463,1114,412,0
29496256,161,-0.0435,0.0054,1.0195,0.0000,0.3052,-0.2441,5.0000,40.0000,62.0000,0,1,462,1120,409,0
29501253,162,-0.0435,0.0059,1.0200,-0.0610,0.1221,-0.3052,5.0000,40.0000,62.0000,0,1,490,1094,413,0
29506265,163,-0.0430,0.0059,1.0205,0.0000,0.1831,-0.2441,5.0000,40.0000,62.0000,0,1,465,1159,396,0
29511254,164,-0.0435,0.0059,1.0200,0.0000,0.3662,-0.0610,5.0000,40.0000,62.0000,0,1,474,1125,398,0
29516252,165,-0.0444,0.0044,1.0200,0.0000,0.3662,-0.1831,5.0000,40.0000,62.0000,0,1,507,1103,396,0
29521254,166,-0.0439,0.0039,1.0210,0.0000,0.3662,-0.2441,5.0000,40.0000,62.0000,0,1,493,1111,397,0
29526253,167,-0.0435,0.0049,1.0210,0.0000,0.3052,-0.2441,5.0000,40.0000,62.0000,0,1,479,1114,396,0
29531254,168,-0.0430,0.0054,1.0215,-0.1221,0.2441,-0.1831,5.0000,40.0000,62.0000,0,1,493,1102,396,0
29536250,169,-0.0420,0.0054,1.0229,-0.1221,0.0610,-0.1831,5.0000,40.0000,62.0000,0,1,504,1152,396,0
29541252,170,-0.0415,0.0049,1.0229,-0.0610,0.3052,-0.1831,5.0000,40.0000,62.0000,0,1,490,1153,398,0
29546253,171,-0.0420,0.0034,1.0200,0.0610,0.3052,-0.2441,7.0000,40.0000,64.0000,1,1,499,1153,395,0
29551250,172,-0.0430,0.0034,1.0186,0.0000,0.1831,-0.1831,7.0000,40.0000,64.0000,0,1,479,1138,791,0
29556251,173,-0.0425,0.0044,1.0186,0.1221,0.4272,-0.1221,7.0000,40.0000,64.0000,0,1,480,1108,403,0
29561250,174,-0.0420,0.0044,1.0181,0.0000,0.3052,-0.1831,7.0000,40.0000,64.0000,0,1,462,1144,439,0
29566249,175,-0.0425,0.0044,1.0190,-0.0610,0.1221,-0.3052,7.0000,40.0000,64.0000,0,1,463,1100,426,0
29571248,176,-0.0430,0.0054,1.0210,-0.0610,0.3052,-0.1221,7.0000,40.0000,64.0000,0,1,463,1143,412,0
29576255,177,-0.0430,0.0063,1.0225,0.0610,0.3052,-0.1221,7.0000,40.0000,64.0000,0,1,463,1139,414,0
29581256,178,-0.0430,0.0059,1.0225,0.0610,0.2441,-0.1831,7.0000,40.0000,64.0000,0,1,462,1037,438,0
29586250,179,-0.0420,0.0054,1.0220,0.0000,0.2441,-0.2441,7.0000,40.0000,64.0000,0,1,463,1122,418,0
29591249,180,-0.0415,0.0049,1.0200,-0.0610,0.2441,-0.3052,7.0000,40.0000,64.0000,0,1,463,1133,412,0
29596251,181,-0.0415,0.0039,1.0195,-0.1221,0.1831,-0.3662,7.0000,40.0000,64.0000,0,1,463,1189,405,0
29601250,182,-0.0425,0.0039,1.0205,0.0000,0.1831,-0.2441,7.0000,40.0000,64.0000,0,1,463,1198,413,0
29606261,183,-0.0430,0.0049,1.0210,0.1221,0.3052,-0.1831,7.0000,40.0000,64.0000,0,1,465,1100,397,0
29611255,184,-0.0435,0.0049,1.0215,0.0610,0.1831,-0.3052,7.0000,40.0000,64.0000,0,1,491,1161,396,0
29616252,185,-0.0430,0.0054,1.0215,-0.0610,0.2441,-0.2441,7.0000,40.0000,64.0000,0,1,507,1119,397,0
29621254,186,-0.0420,0.0054,1.0205,0.0000,0.2441,-0.2441,7.0000,40.0000,64.0000,0,1,489,1154,396,0
29626248,187,-0.0415,0.0034,1.0195,-0.0610,0.1221,-0.2441,7.0000,40.0000,64.0000,0,1,476,1110,397,0
29631253,188,-0.0420,0.0029,1.0190,-0.1221,0.1831,-0.1831,7.0000,40.0000,64.0000,0,1,498,1157,396,0
29636251,189,-0.0425,0.0039,1.0195,0.0610,0.2441,-0.2441,7.0000,40.0000,64.0000,0,1,485,1154,396,0
29641254,190,-0.0435,0.0039,1.0210,0.1221,0.3052,-0.2441,7.0000,40.0000,64.0000,0,1,495,1158,396,0
29646255,191,-0.0435,0.0034,1.0215,0.0610,0.3052,-0.1831,6.0000,42.0000,59.0000,1,1,506,1146,395,0
29651250,192,-0.0425,0.0034,1.0200,0.0610,0.1831,-0.3052,6.0000,42.0000,59.0000,0,1,464,1134,792,0
29656252,193,-0.0425,0.0039,1.0200,0.0000,0.2441,-0.3052,6.0000,42.0000,59.0000,0,1,480,1160,409,0
29661249,194,-0.0425,0.0049,1.0205,0.0610,0.1831,-0.3052,6.0000,42.0000,59.0000,0,1,463,1115,439,0
29666254,195,-0.0425,0.0054,1.0210,-0.0610,0.1831,-0.2441,6.0000,42.0000,59.0000,0,1,463,1157,431,0
29671252,196,-0.0420,0.0059,1.0215,0.0000,0.2441,-0.1831,6.0000,42.0000,59.0000,0,1,463,1162,411,0
29676253,197,-0.0415,0.0049,1.0215,0.0000,0.1831,-0.1831,6.0000,42.0000,59.0000,0,1,462,1006,417,0
29681248,198,-0.0420,0.0029,1.0229,0.0000,0.3662,-0.1831,6.0000,42.0000,59.0000,0,1,463,1016,438,0
29686257,199,-0.0425,0.0024,1.0220,-0.0610,0.2441,-0.2441,6.0000,42.0000,59.0000,0,1,462,1037,429,0
29691250,200,-0.0420,0.0039,1.0205,-0.1221,0.1221,-0.3052,6.0000,42.0000,59.0000,0,1,463,1155,412,0
29696253,201,-0.0415,0.0049,1.0210,0.0000,0.1831,-0.3052,6.0000,42.0000,59.0000,0,1,463,1194,410,0
